10,34
15,30
16,29
1,40
5,1
18,35
19,0
8,9
10,6
17,21
4,30
14,40
6,2
14,49
7,10
6,20
18,19
13,35
18,28
7,28
19,2
12,27
0,7
12,36
6,4
7,3
8,32
7,12
1,26
15,25
2,25
16,24
8,41
18,30
16,42
11,0
0,0
15,46
13,12
10,22
8,34
16,17
1,28
0,30
18,23
11,39
17,0
0,48
3,19
5,16
6,45
16,1
7,7
1,21
19,36
18,16
2,29
1,39
12,15
15,41
5,18
10,8
15,13
19,38
19,47
0,43
9,0
3,14
13,9
18,2
7,2
1,16
0,27
2,24
5,41
11,36
0,45
12,10
6,24
13,39
3,16
6,33
4,15
15,45
10,3
1,0
19,15
11,11
17,36
2,17
0,29
5,43
12,3
12,12
15,29
1,48
10,5
1,11
10,23
0,31
12,5
4,1
3,11
7,27
15,40
6,37
8,1
5,20
16,2
2,12
3,41
2,21
19,37
15,15
9,45
7,20
1,34
10,0
10,9
9,29
0,26
15,8
15,35
6,32
7,40
8,5
0,1
9,13
13,13
14,45
6,7
9,40
6,16
7,15
13,31
6,25
4,7
7,33
1,47
18,33
16,45
8,7
2,0
8,16
2,9
19,25
9,24
15,3
14,47
16,11
